"","text","sentiment"
"1","near end analysts remarked year last disney stand alone animation king following year saw first sleeper entry genre studio magic kingdom twentieth century fox gave baronial russia masses form anastasia best thats sleeper hit designed surprise shake industry however things decidedly different number pushes disneys death grip market fiftyone weeks new champion emerged dreamworks prince egypt succeeds conventionally animated products failed two contenders warner brothers quest camelot disneys annual entry mulan lacked inspiration drive respectively although camelot borderlineabysmal cant really considered shot title mulan makings winner unfortunately saturated traditional disneycute animation lost points rapidlychanging face competition making prince egypt dreamworks strayed hallmarks created genuinely unique product animation flawless aside bugs life bestlooking movie date animators nimbly mixed flat spatial effects combination something artists disney fox heretofore struggled key success however visuals used just looked cool also method advancing plot namely important action sequences like parting red sea done almost entirely dreamworks first studio prove theyve got stuff success theyre capable challenging disney story also wellwritten characters voiced talent part plot follows source material book exodus although general sense writers took creative liberties damage story way fact shakespearean relationship moses val kilmer pharaoh rameses ralph fiennes makes story interesting anything moses hebrew saved slaughter firstborn sons mother sets basket nile floats pharaoh seti patrick stewart palace taken royal family moses grows learns heritage flees desert discovers burning bush commissioned god return egypt free slaves time rameses now pharaoh two brothers now opposite sides line face battle wills divine intervention cast voices impressive also includes noteables sandra bullock jeff goldblum danny glover steve martin script lot oneliners god reduced voice might well mistaken one spoke kevin costner field dreams overall story exciting interesting decidedly older crowd tykes havent years religion class will hopelessly lost make bid prince egypt can great watch ","pos"
"2"," nicolas cage sounds like ideal choice lead role martin scorsese film despite rantings sean penn rudely expressed actor remains gifted versatile screen presence ever since big success actionthriller faceoff hollywood road rocky one mr cage perpetually awful assassination thriller snake eyes one worst films mm disappointing lost cause better scorsese match cages wit intensity miraculous fashion bringing dead cage delivers one finest performances frank pierce new york city emergency paramedic running fumes daytoday five years stressinducing job frank basically just staggers onward relying heavy doses caffeine booze shift finally ends also begins seeing ghosts past patients died care namely young girl named rose stares back pale features every street corner new york frank desperately wants fired boss needs scour city help need ill fire tomorrow promises frank accompanied fresh face every night ambulance first larry john goodman always food brain second marcus ving rhames deeply religious black man incorporates power jesus regular rescue operation finally tom tom sizemore deranged sociopath hungry blood found unique scorsese used characters single shift frank never figured actual plot merely colorful presence help develop franks character bringing dead predominantly study mind detailed personality one character alongside frank truly comes play mary patricia arquette daughter newly admitted patient suffered severe heart attack arquette recently received wounds christ stigmata performs well around reallife husband cage unfortunate intriguing character trials tribulations relationship frank mary slips mishandled ineffective finale movie belongs onetwo punch cage scorsese born collaborate efforts arrangement similar bringing dead although certainly lacks grit hardedge something like goodfellas scorsese manages hit nerve latest picture incredible camerawork photography represent stunning flashes brilliance otherwise unspectacular conglomeration fans will pleased find director returned abrasive darkly humorous roots somewhat departure kundun bringing dead rival scorseses finest work occasionally film feels surprisingly limp enough energy interesting material breathtaking visual appearance suffice expecting grisly risqu product may somewhat disheartened fairly straightarrow approach still solid admirable effort bringing dead written acclaimed paul schrader collaborated scorsese classics taxi driver raging bull schraders script full moments wonderful sharply defined moments sorted throughout remainder meandering screenplay exceptional aspects film astounding technical credits amazing cast goodman sizemore electric well mainly sizemore phenomenal ving rhames deserves second look watch actors deeply inspired dedication resurrects gothic band member youll understand won golden globe bringing dead raw electrifying often enough mask certain flaws scorsese cage matter done better intentions certainly admirable ","pos"
"3","big courtroom thrillers always captivated america simpson tom capano menendez brothers names synonymous americans courtrooms course courtroom dramas new topic hollywood whether john grishams thrilling novels televisions famous dramas courtroom always provided big bucks rented civil action expecting film like rainmaker brilliant law film kept viewers edge seat however saw civil action far different expected major surprise fortunately pleasant one john travolta always seems come big least expect one expected light screen grease saturday night fever whenever gets knocked always seems come back fighting civil action johns best performance strong one rival performance travolta proves normal believable performance can vault film oscar nominations performance flashy memorable just solid delivered solid performance film still average luckily strong supporting cast william macy probably one underrated actors hollywood continues deliver great performances one still regarded secondary actor civil action delivers yet another great performance travoltas paranoid greedy accountant lovable character character stands mind whenever think film one big time lawyers just measly accountant delivers one best supporting roles actually someone better civil action robert duvall also underrated actor gets many leading roles never heard hear big box office draws like tom hanks brad pitt jim carrey duvall supporting role lawyer codefendant duvall magical role wise teacher battles courtroom also manages teach every major player lesson twisted way many noncomedic films directors always trying find way implement touch comedy keep audience toes unfortunately usually just key one character whose main objective funny jarjar binks anyone however usually backfires character never fully developed case civil action comedy coming sides whether duvalls inane questions macys sharp anger laughs come steady pace granted roll aisle funny provides nice addition film plot terrific somewhat setup nice film actually starting victory courtroom case will make break jan travolta career rears ugly head find goldmine involved case wind taking however budgets soon flounder jan finds deep debt will spoil rest although must speak one downside film courtroom debates great actual problem fighting never fully explored left somewhat confused although rest film terrific john travolta back yet great film supporting cast consisting macy duvall turn tremendous performances ease load travolta film smart witty thought provoking gauge incourt battles also various tolls can take major players civil action provides everything drama lover craves ","pos"
"4","anyone saw alan rickmans finelyrealized performances truly madly deeply sense sensibility will unsurprised actorturneddirector bit poet heart however recall maniacal villain die hard robin hood prince thieves recognition may something shock nevertheless poetic excellent term describe rickmans feature debut director winter guest film simple unhurried rhythm uses available elements fashion successful whole result occasionally haunting sometimes magical always insightful human drama winter guest isnt resolving plot threads advancing story line exploring relationships examining life stages winter guest tell traditional tale ascribe conventional narrative structure real beginning end instead given opportunity observe one day lives eight humans represent sexes multiple generations variety relationships male female young middleaged elderly friends wouldbe lovers kin see expectations fulfilled disappointed emotional boundaries eroded truths unveiled comedy tragedy importantly much transpires course winter guest will find echo lives fiction can found much truth setting small town scotland coldest day year frigid sea begun freeze onshore wind cuts like knife snow blankets beach giving terrain alien appearance backdrop relationships film captured four pairings although interaction different twosomes winter guests focus dynamics internal relationship first meatiest pairing elspeth phylida law recentlywidowed daughter frances emma thompson two stormy relationship love deeply stubborn willful neither willing admit need much interaction argumentative course long walk frozen shoreline come unspoken understanding much means frances adult son alex gary hollywood lonely young man caring mother since death father day meets girl nita arlene cockburn secretly spying weeks although first encounter antagonistic throws snowball quickly become aware undeniable attraction retire place can alone however things dont go exactly planned lily sheila reid chloe sandra voe couple old friends frequent funeral attendees death topic endless fascination perhaps close spend spare time scanning obituaries looking next funeral cremation area doesnt matter whether knew deceased ceremony theyre interested sam douglas murphy tom sean biggerstaff pair schoolboy chums spending cold february day cutting classes hanging beach horsing around building small fire warmth walking frozen water unlike lily chloe two entire lives ahead young enough still believe magic old enough recognize process crossing adulthood robs life simple joy children can experience acting strong believable mixture veteran performers firsttimers effective successful choice casting reallife mother daughter phylida law emma thompson prominent roles chemistry interaction hard replicate two different nonrelated actors course physical resemblance makes much easier accept elspeth frances parent child winter guest began life stage play rickman director four films principals phylida law arlene cockburn sheila reid sandra voe appeared theatrical version moving film unlike several recent motion pictures adapted plays winter guest successfully opened rough bleak scottish countryside becomes much character eight humans fact considering important climate every relationship rickmans microscope argued single important element movie appreciate character studies winter guest solid effort enough power stay left theater ","pos"
"5"," know million found previously undiscovered airplane crash site especially jacob lou huh well event situation hank paxton finds dimwitted brother jacob thorton tubby friend lou brent briscoe come upon large bag cash inside plane wreck better judgement hank decides go along idea keeping rather going authorities rest film question going die keep secret worth simple wish lies along lines bad things clay pigeons even fargo kind wrapped one little dark bundle oh much better sam raimi took departure normal freakshow horrormonkey films made stylish intriguing picture really lets audience sit back watch events unfold rather force throats many directors prefer think raimi knew winner hands decided direct picture natural flowing course one films components can linked recurring theme terrence malicks thin red line malicks three hour boreathon makes interesting attempt link mother earth war story seemed nothing occasional pretty cut field flowing grass small bird flowing body water sure obvious metaphorical connections subtlty efforts raimi fine job tying fox chicken coop birds prey signify future characters think viewers may miss comparison intriguing ingredient film theres billy bob thorton proof independent film industry vital life blood hollywood can continute produce people like thorton hollywood will ok gives fantastic devastatingly deep performance engrossing carl childers character slingblade just complex jacob slow simple yet often see deep thought wondered thinking things never say didnt know say just taking long time think thing just said really proves worth one best character actors industry though plot somewhat unoriginal appealing new twist characters paxton gives one better performances career straight serious leader group far cry chet wierd science perhaps bridget fonda miscast advicegiving wife certainly doesnt anything ruin picture simple plan can included group recent small hollywood films just dark pretty unredeeming least one important message unlike many counterparts ","pos"
"6"," hate burst bubble star power mega bucks screenwriters directors cool trailers men black best movie summer pretty good right yes probably split best movie honors among faceoff spawn con air maybe event horizon main problem quickly forgettable cant remember one truly good scene con air scene desert digging plane dirt spawn living room hell conclusion end event horizon video event horizon crew taken hells forces faceoff pretty dang good men black scene still recall will smith squishing giant roaches remember humor hate roaches passion pretty disgusted yes see mimic something ill touch later review back men black just sound funny remember first hearing men black back comic geek th grade read magazines like wizard etc arent comicgeeks wizard basically comics car driver cars new yorker high society boys life boy scots okay one pretty pathetic people know men black based obscure comic book honestpoliticianrare hard find release highgrossing batman forever said tommy lee jones chris odonnell considered roles comic book black men black kind weird huh can say thank god didnt cast chris odonnell know cant person planet thinks hes annoying preppie little snot sorry apologies odonnell fans actually th grade teacher big comic collector set buy comics anticipating rather craftily movie big hit drive price comics rather nicely decided sell innappropriate hmm now youre probably wondering ive wasted paragraphs lame anecdotes junior high years good question ill move movie now probably already know will smith tommy lee jones agents respectively belong top secret agency known divison nickname mib men black men black reference black suits sunglasses agents wear theyre mission investigate reports alien landings keep aliens control theyre earth get technical spoil plot people world havent seen movie basicallybigroachtypebug lands redneck farmers yard inhabits body attempts destroy entire universe bad eh idea just typed im even really paying attention anymore special effects good yet dissapointing men black found main headquarters boring cool weapons noisy cricket just plain sucked matter anyone said movie definitely surprised tone although probably shoudlnt director barry sonnenfield known black humor directing addams family movies movie basically black comedy actionscifi like expected trailers dont get wrong think movie bad gave mostly entertaining throughout run good ending although think person theater amazed diagnosis picture good weekend rental worth movie ticket course movie now long gone theaters thats beside point think ","pos"
"7"," heartbreak kid reviewed aug th starring charles grodin cybill sheppard eddie albert heartbreak kid charles grodin plays one unbelievably obnoxious characters ive seen screen long time hes guy spends virtually entire running time movie bullshitting way one situation another doubt ever expressed genuine feeling film film opens just gotten married way miami beach honeymoon halfway begins resent bride time arrives hotel met cybill sheppard character ready divorce wife played grodin character type person nothing will ever good enough phrase grass always greener side fence practically written mind however finds something really wants will pursue long takes problem immediately loses interest end heartbreak kid hilarious sad reason charles grodin smarmy best sheppard quite appealing object grodins desire however real scene stealer jeannie berlin daughter director elaine may grodins whiny bride owns every scene shes makes almost want root grodin character trying heartbreak kid written neil simon shows simon loves deconstruct analyze human relationships hes top game maddeningly obnoxious grodin character hes type guy everyone knows character george costanza seinfeld seems modelled problem film funny billed comedy much see realism characters nice chuckle heartbreak kid date movie extremely negative view relationships seeing girlfriendboyfriend hazardus health ","pos"
"8","trailing success brit humour movie industry likes semidramatic commitments nearly slapstick fish called wanda full monty one film delivered depth former humour magnitude latter film opens narrated documentary reel showing improving economic living standards sheffield cut harsh reality present sheffield become sort semislum visible increase anything amount layoffs steelfactories flourishing industry gaz carlyle spends time workers club sort place jobless people sit around wait job offers plump friend dave addy well former foreman gerald wilkinson sitting around club months without call duty seemingly just passing hard time gaz suddenly transformed desperation afford pounds childsupport money exwife suddenly finding facing possiblity losing custody son goes concoct enterprising wildidea get money desperately requires dave gerald problems top lack employment dave also faced paranoia wife leaving current financial state well hisplump appearance gerald cheating wife telling layoff long months leaving home work actually longstanding member workers club people real problems notsopractical solution gaz manages get support sure enough managed get poor jobless blokes join gag perform stripact local pub gazs words looking add stripact featuring hunky beautiful men women willing pay sure well will pay realmen full monty simple nature trace ambitious small film delves harshreality unemployment desperation drives people also light movie watch despite theme delves lot humanfactor going never trying manipulative full monty true way hilarity level film soared unexpectedly high audience will find way cheated laugh something lacking many comedy films wannabes hollywood carlyle acted psychotic begbie trainspotting rest actors definitely new onscreen however acting presented film satisfying carlyles work stark contrast character trainspotting implying real acting skill flexibility onscreen kudos people involved film especially director peter cattaneo able put together excellent film much potential ending justanotherstriptease already critical financial success small film full monty humble film deserves applause throughout titanic managed feast eyes soul epic way full monty gives one satisfaction half time ","pos"
"9","note may consider portions following text spoilers forewarned among fanatical ticker tapeworshipping friends theres one happens share philosophy espoused central character darren aronofskys darkly original pi entire stock market can reduced nothing series patterns analysis will produce information accurately forecast future behaviour example mentality involved stock price goes like like sharply way will go way freely admit know less nothing market knowledge check prices good prices bad time least hence really couldnt comment authority always nonetheless struck incredibly naive oversimplification astonishingly complex system besides simple doubt somebody wouldve already figured difference case colleague otherwise assuredly realistic individual truly believes valid forecaster pi uses ideology device investigate characters psychosis also vastly convincing argument mathematics language universe insists genius protagonist maximillian cohen sean gullette cool mantralike voiceover repeats throughout picture since nature can expressed numbers patterns everywhere nature reasons eminent logic finding patterns will allow predict anything ups downs stock market many games yankees will win year flavour jam im going put toast tomorrow morning obsessed finding proverbial key universe max lives paranoid selfimposed solitude seedy nyc chinatown apartment singlemindedly toiling away monstrous homemade computer system sullenly withdrawn plauged debilitating migraines elusive pursuit mysterious digit number machine spits one day driving madness story basically eccentricity clever astute eccentricity perceptively zeroing modern mistrust mathematical reductionism age dominant societal phobia ones individualism replaced series numeric identifiers maxs allconsuming penchent numbers creates lingering unsettling mood helps matters hes particularly likable protagonist attempts friendliness neighbours curtly rebuffed max spindly neuroticlooking individual hasnt time indulge pleasantries film puts lead character front center mr gullette appears virtually every scene pi takes refreshing effective approach avoiding conventional aesthetics ambivalence max much avidly rooting triumph moment epiphany following plot sense mixed dread morbid fascination disturbing journey quest still care maxs fate teetering edge dementia winds pursued two different groups want pick brain fronted deliciously perky resolutely cheerful representatives inevitably duplictious intentions know films paranoia dominant element see truman shows laura linney character matter real life always ones never stop smiling overly friendly ones wary pi film addresses patterns intentionally adheres identifiable pattern cycle headache scene important revelation bit plot development pillpopping montage hallucinatory nightmare decidedly cronenbergesque undertones directors equally adept bridging unsettling concepts bodythemed horror nosebleeding reality repetitiveness far tedious effectively maddening anything picture aims get skins take events maxs claustrophobic perspective regard wildly succeeds due mr aronofskys striking direction rarity film completely immerses protagonists warped perspective surrounding high contrast blackandwhite cinematography combined constant usage extreme closeups lend heightened sense paranoia proceedings scenes stark composition conjunction lumbering approach mr gullette make character curiously resemble latterday max schreck nosferatu using savage jittery lensing rapid cuts create sense disorientation picture often dizzying behold maxs effective isolationism emphasized shots socalled snorri cam keep plain focus environment races blurred bursts pis raw aggressive visuals reminiscent david lynchs early work particular eraserhead films sinister tone splashes onto screen immediately dazzling opening credit sequence ably backed sly electronic score clint mansell gradually increases intensity still amidst kafkaesque qualities overall dispassionate mood pi occasionally display sense humour one point marcy dawson pamela hart great fun entices max offer invaluable treasure oneofakind computer chip isnt beautiful coos showcase mr aronofskys technical virtuosity made since gone capture acclaim sundance film festival pi intriguingly cerebral story ironically perhaps purely visceral film year ","pos"
"10"," think competent member human race whos ever seen movieany moviecould probably predict just every turn wedding singer even though try hard predict films im watching especially romantic comedies plot particular film just advanced seconds sometimes minutes actually saw happen screen dont care even little reasons simple adam sandler great drew barrymore great movie funny parts left gasping air laughing hard havent laughed hard movie since austin powers sandler plays robby hart wedding singer dreams rock band writing music opening scenes seems like happygolucky wedding singer least partially enjoying profession rather good job talking really drunk individual steve buscemi decides brothers wedding good place tell whole world life point utter pointlessness week later wedding left standing altar exfianc excuse linda angela featherstone life complete disarray meets julia barrymore waitress engaged glenn matthew glave marry three months julia robby become good friends enlists help wedding plans soon predictably becomes pretty clear glenn jerk robby julia really love oh sure trite anyone making film expected us like feel suspense something watching wedding singer truly underestimated audience makes story bearable aside terrific costumes music performances barrymore simply adorable ive never seen look close way et pleasant look acting job really good oneand doesnt hurt character likable adequately wellwritten jerk played fullforce graves just despicable villain romantic comedy ive ever seen naturally true star sandler think guy flatout hilarious can say something just isnt funny delivery makes laugh comedic performance equals happy gilmore film goes much proves can indeed hold leading man romantic comedy whereas roles previous films kind sandler playing sandler wedding singer gives character first time actually fit far im concerned succeeded film testimony fact range talents movie just funny perhaps best moment sings song julia claims little uneven began writing good mood finished fianc excuse abandoned part literally groping breath air film like romantic comedies takes hiatus laughs towards end plot finish enough truly hilarious moments first hour make slumps progress second half formal complaints wedding singer arent important film predicable cares characters extremely likable movie ridiculously funny experience simply enjoyable addition cant imagine anyone seeing preview wanting see film order conclude pointless even written review just want everyone know laughed lot ","pos"
